,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
12,2023.02.01,SK아이이테크놀로지,"67,900",900,+1.34%,"233,830","-5,555","-31,533","5,927,514",8.31%
13,2023.02.02,SK아이이테크놀로지,"73,400","5,500",+8.10%,"916,148","+169,114","+187,034","6,116,033",8.58%
14,2023.02.03,SK아이이테크놀로지,"72,100","1,300",-1.77%,"448,302","+25,053","-91,603","5,869,730",8.23%
15,2023.02.06,SK아이이테크놀로지,"72,100",0,0.00%,"412,248","+30,539","-77,281","5,941,049",8.33%
16,2023.02.07,SK아이이테크놀로지,"73,500","1,400",+1.94%,"1,671,055","-1,180","-14,929","5,926,120",8.31%
17,2023.02.08,SK아이이테크놀로지,"70,100","3,400",-4.63%,"1,042,421","-82,853","-387,599","5,598,521",7.85%
18,2023.02.09,SK아이이테크놀로지,"70,100",0,0.00%,"476,297","-34,246","-76,886","5,591,635",7.84%
32,2023.02.01,HMM,"22,500",750,+3.45%,"2,219,428","+146,035","+214,664","50,865,244",10.40%
33,2023.02.02,HMM,"22,400",100,-0.44%,"1,714,888","-109,347","-212,057","50,774,342",10.38%
34,2023.02.03,HMM,"22,600",200,+0.89%,"1,472,496","+40,284","+256,932","50,995,274",10.43%
35,2023.02.06,HMM,"21,850",750,-3.32%,"1,366,824","-156,451","-272,219","50,743,055",10.38%
36,2023.02.07,HMM,"21,950",100,+0.46%,"1,143,188","-63,558","+103,038","50,886,093",10.41%
37,2023.02.08,HMM,"22,050",100,+0.46%,"849,722","+80,207","+44,520","50,989,499",10.43%
38,2023.02.09,HMM,"21,700",350,-1.59%,"1,136,894","-124,189","-31,261","51,069,238",10.44%
52,2023.02.01,콤텍시스템,756,4,-0.53%,"2,114,069",+46,"-272,837","2,079,377",1.72%
53,2023.02.02,콤텍시스템,806,50,+6.61%,"7,342,325","-23,787","+185,741","2,265,118",1.87%
54,2023.02.03,콤텍시스템,782,24,-2.98%,"18,168,616","-8,610","-384,004","1,881,114",1.55%
55,2023.02.06,콤텍시스템,883,101,+12.92%,"84,480,769","+21,426","-92,560","1,788,554",1.48%
56,2023.02.07,콤텍시스템,895,12,+1.36%,"15,978,103","+119,060","-317,187","1,471,367",1.22%
57,2023.02.08,콤텍시스템,895,0,0.00%,"6,407,999","-36,482","+62,570","1,533,937",1.27%
58,2023.02.09,콤텍시스템,887,8,-0.89%,"6,228,445","-200,378","-272,016","1,261,921",1.04%
72,2023.02.01,쏠리드,"6,060",210,+3.59%,"798,146","+4,769","+252,583","3,236,799",5.29%
73,2023.02.02,쏠리드,"6,080",20,+0.33%,"460,321","-7,953","-24,409","3,212,390",5.25%
74,2023.02.03,쏠리드,"6,110",30,+0.49%,"758,888","+3,168","-87,056","3,125,334",5.10%
75,2023.02.06,쏠리드,"5,910",200,-3.27%,"601,866","-137,992","-132,853","2,992,481",4.89%
76,2023.02.07,쏠리드,"6,040",130,+2.20%,"448,076","-91,774","+158,371","3,150,852",5.15%
77,2023.02.08,쏠리드,"6,050",10,+0.17%,"461,952","-58,810","+68,684","3,219,536",5.26%
78,2023.02.09,쏠리드,"6,250",200,+3.31%,"1,377,743","-78,343","+241,492","3,461,028",5.65%
92,2023.02.01,한미글로벌,"30,200",400,-1.31%,"434,883",+320,"+2,112","124,415",1.14%
93,2023.02.02,한미글로벌,"31,000",800,+2.65%,"824,230","-5,075",-151,"124,264",1.13%
94,2023.02.03,한미글로벌,"30,650",350,-1.13%,"193,110",+795,"+2,565","126,829",1.16%
95,2023.02.06,한미글로벌,"29,500","1,150",-3.75%,"383,186","-36,052","-15,916","110,913",1.01%
96,2023.02.07,한미글로벌,"29,600",100,+0.34%,"262,842","+5,770","+3,121","114,034",1.04%
97,2023.02.08,한미글로벌,"29,650",50,+0.17%,"281,817",+750,"-4,308","109,726",1.00%
98,2023.02.09,한미글로벌,"28,850",800,-2.70%,"312,321",-86,"+4,900","114,626",1.05%
112,2023.02.01,진양홀딩스,"3,210",30,+0.94%,"48,499",-9,"+1,120","1,106,694",1.98%
113,2023.02.02,진양홀딩스,"3,270",60,+1.87%,"46,204","+13,782","+1,493","1,108,187",1.98%
114,2023.02.03,진양홀딩스,"3,275",5,+0.15%,"28,838","+11,353","-3,426","1,104,761",1.98%
115,2023.02.06,진양홀딩스,"3,295",20,+0.61%,"32,577","+12,229",-410,"1,104,351",1.98%
116,2023.02.07,진양홀딩스,"3,300",5,+0.15%,"24,678","+2,746","-2,210","1,102,141",1.97%
