,날짜,기업명,정제된 댓글,상승_하락
0,2023-02-09,삼성전자,나 콜옵 장 넣었다규 감사,-1
1,2023-02-09,삼성전자,중국풍선 개국이상 스파이짓속보 삼성게시판은 잡벌레집합소됫노,-1
2,2023-02-09,삼성전자,개 돼지의 나라 굿잡,-1
3,2023-02-09,삼성전자,터치 좀 한번 해보아야 자를 바라보지 이건머 호재는 있더만 일본하고 합작하여,-1
4,2023-02-09,삼성전자,이 꼬라지를 보고도 부끄럽지 않으면 그 나라에무슨 미래와 희망이 있나 화가 너무 난다,-1
5,2023-02-09,삼성전자,낼은 퍼 상승 한다 민약 틀리면 리죄멍 호두알 한개 건다너그들 맘데로 빼가라,-1
6,2023-02-09,삼성전자,김영익 교수가 올해 월까지 삼전 최고치 찍는단다 믿어야 하나 판단은 각자가,-1
7,2023-02-09,삼성전자,억 나도 대리까지만 하고 퇴사했어야 억도 못받고 말이야,-1
8,2023-02-09,삼성전자,그러면 오늘은 이만 안뇽 오씹억 씨도 잘 주무시고 자 앞으로 제대로 망해봅시다,-1
9,2023-02-09,삼성전자,앗싸라비야 대박터져부럿네 오씹억원 오 씹억원,-1
10,2023-02-09,삼성전자,이제 곧 일 어 난 다 거짓에 참을 수 없는 분노가 곧 터진다,-1
11,2023-02-09,삼성전자,분할해서 느긋하게 숏 들어갈 것 미장 시작될 때까지 느긋하게 분할해서 유투브 보면서 노래 들으면서 들어오면 숏치고 들어오면 또 숏치고 계속 숏 칠 것,-1
12,2023-02-09,삼성전자,승부사 일단 파운드 숏 시작 파운드 숏으로 시작,-1
13,2023-02-09,삼성전자,오늘 유럽증시 꼭지 가능성 매우 높게 보고 있다,-1
14,2023-02-09,삼성전자,달러 대폭등 임박 오늘 최소 새벽 시까지 반드시 수익 낸다 왜 그러하냐면 시간이 없어서 인공지능의 극단적 경로가 선택되어서 그렇다 이를 역이용할 수 있는 인자는 승부사밖에 없다,-1
15,2023-02-09,삼성전자,세똥전자 후대퐁 통화품질이 알아묵지못할 정도 태블릿 노트북 모니터기능도 안되쓰레기를 돈받고 팔아 하루에도 몇번씩 밟아바리고싶은 충동 에게 쓰리똥 개동 삼별 셋벌전자다 빨랑 망해라,-1
16,2023-02-09,삼성전자,오늘 반드시 수익내주겠다 달러 급반등 준비할 것 오늘 승리 확률 프로 이상으로 보고 있다 유로 대폭락 할 거다,-1
17,2023-02-09,삼성전자,도적넘이 수사하고 도적넘이 판결하고 도적넘이 나발불고국졸들이 빨아대고안망하면 신기하고,-1
18,2023-02-09,삼성전자,미 선물 숏 준비할 것 오늘 대박 기회라고 다섯 번째 이야기한다,-1
19,2023-02-09,삼성전자,달러 배수진 오늘 대폭등 시작할 것 미증시 숏 준비하세요,-1
20,2023-02-09,삼성전자,나스닥 선물 무지하게 오르네 내일 아침까지,-1
21,2023-02-09,삼성전자,달러 초강력 매수 초대박 기회 초대박 기회다 승부사 이런 표현 잘 안쓴다,-1
22,2023-02-09,삼성전자,초대박기회 달러 파 조정 마무리단계 달러 조정 마무리단계 유로 강력 숏,-1
23,2023-02-09,삼성전자,삼성전자도 장대양봉 나오는거 보고싶네요,-1
24,2023-02-09,삼성전자,무역적자가 심각하다 역대 최대 적자를 갱신하고 있다,-1
25,2023-02-09,삼성전자,낼 돌파,-1
26,2023-02-09,삼성전자,내일 깔 파러 시초가 매도 수익실현,-1
27,2023-02-09,삼성전자,옵션만기일이라 빠진건가요 그래서 코스피 빠진건가요,-1
28,2023-02-09,삼성전자,개미들이 돈 벌기 어려운 국장 반면에 비교적 국장보다 훨씬 공정하고 선진적인 유럽 미장에선 돈 벌기 훨씬 쉬움 유럽 미장은 장 시작 전에 정보 보안에 철저한 지표 발표 딱 보고 딱 그대로 베팅하면 비교적 수월하게 돈 벌 수 있음 방금 유럽장도 딱 이랬음 근데 국장은 거의 항상 지표의 역방향으로 몰아붙여서 개미 돈을 털어감 그래서 국장은 사기도박판인 거임,-1
29,2023-02-09,삼성전자,유럽 시가올려 털기작전 숏 체결,-1
30,2023-02-09,삼성전자,자 여러분 오늘 본 원 삼전가격 다시 보려면 년 뒤에나 볼 수 있을겁니다즉 코스피지수 다시 보려면 년 뒤에나 조만간 갑작스럽게가 아니고 곧 앞으로 한 달뒤 코스피지수 으로 가 있을것이며 두달뒤엔 한 번 반등 뒤에 그 다음부터는 지옥길로 들어서는 입구로 들어간 상태이니 년 동안 허리띠 졸라메고 하던일 열심히 하면서 검소한 생활로 각자도생 해야 하는 제 의 시대가 올 수도 있겠다는 년짜리 경제싸이클일 가능성이 커보입니다 그냥 그렇다구요,-1
31,2023-02-09,삼성전자,월 무역적자가 억불이다 이거 매스컴에서 나오지않냐 여기에 중국 무역적자가 크게 작용한다,-1
32,2023-02-09,삼성전자,원위치 전고점,-1
33,2023-02-09,삼성전자,개미 기관외인판던지 사던지 조 좀 해보세요아니면 개미끼리 싸우게 비키던지,-1
34,2023-02-09,삼성전자,삼전 반도체 실적 폭망한 원인 우리 대통령님이 친미 반중 탈중국 멸콩 외친거 영향 있다 없다 있다고 생각하시면 공감 없다고 생각하시면 비공감 눌러주세요 삼전 메모리 반도체 수출국 위는 중국이었구요 작년에 중국 반도체 수출이 퍼 마이나스,-1
35,2023-02-09,삼성전자,오늘 원 하락했죠 내일 최소 원 하락합니다 처신똑바로 하세요,-1
36,2023-02-09,삼성전자,꼭 상승장에서 단타하는 데 완벽하게 깨지더라 저번 코라나 대하락 대상승장에서 단타쳤다가 깨갱 개 끼 됐는 데 어렵다 어려워 돈번 끼는 전생에 나라를 구한 놈,-1
37,2023-02-09,삼성전자,개월 매매 해봤는 데 실패 주식 졸라 어렵네 결국 초하수네 응예,-1
38,2023-02-09,삼성전자,구주가로 환산하면 주당 만원이야 징징대는 분들 정신차렷요 니나노 알려드림 추언여러분들은 주당 만원짜리를겁 없이 마구 산 것 개미들 헉,-1
39,2023-02-09,삼성전자,나는 초고수 안하고 초하수 할래 실력이 개판이라서,-1
40,2023-02-09,삼성전자,주식이 힘들다 힘들어,-1
41,2023-02-09,삼성전자,썩을 개관들,-1
42,2023-02-09,삼성전자,주식이 무섭다 어느 장단에 맞춰야 하나,-1
43,2023-02-09,삼성전자,삼성 아 왜 떨어지니,-1
44,2023-02-09,삼성전자,삼전이여 만대 한번만 깨주세요 계속 기달리고 있는데 만원대 주질안네한번만 주이소 다 들어가게요 플리즈,-1
45,2023-02-09,삼성전자,삼성 하루종일 그자리에서 있는것도 대단,-1
46,2023-02-09,삼성전자,외인 공매도 친다 팔아라 지금이 마지막 팔 기회다 이제 떨어질 날만 남았다,-1
47,2023-02-09,삼성전자,뉴스 떳네요 속보 유명무실 금리인하요구권 바뀐다 안내 강화하고 거절사유도 구체화입력 오후 금리내렷으니 대출금리 내려줘 응 꺼저 경장하구먼 공감하면 추천 꾹,-1
48,2023-02-09,삼성전자,레인보우로보틱스 배오르고 조정끝 이제 조정끝이다 무조건 십만원 간다 텐버거,-1
49,2023-02-09,삼성전자,개미세끼들아 그만좀 사라,-1
50,2023-02-09,삼성전자,대비하셔야 하세요 만안착 년횡보,-1
51,2023-02-09,삼성전자,년 삼전 무조건 만전자 간다 그 이상간다 외인 기관들은 이미 만원때부터 모으기 시작했다 외인기관들은 배수익목표로 삼전을 만전자로 올린다 무조건 들고 만원 이상에 팔어서 수익봐라,-1
52,2023-02-09,삼성전자,드뎌 상승 전환,-1
53,2023-02-09,삼성전자,만 천 백원 뚫어라 오늘 만 천원 함 가보자,-1
54,2023-02-09,삼성전자,앞으로 음봉 두개만 나오면 서로 던지겠군 조심들 하세요,-1
55,2023-02-09,삼성전자,코난 배 레인보우로보틱스 배 개폭등 개미들 로봇주로 떼돈 버는중이다 삼성전자따위 머하러 사냐 빨리 갈아타라,-1
56,2023-02-09,삼성전자,경제파탄 나만 아니면돼,-1
57,2023-02-09,삼성전자,개미세끼들 평단 만 천원 만 천원,-1
58,2023-02-09,삼성전자,어떤 시끼가 주가 조작질했냐 스벌 단타도 못하게,-1
59,2023-02-09,삼성전자,개미세끼들아 그만좀 쳐 사자,-1
60,2023-02-09,삼성전자,암호화폐 폭락중이다 달러는 오르고 있고 지금이라도 팔고 나가는게 좋을걸,-1
61,2023-02-09,삼성전자,현대화폐이론 환상의 종말 작년 월 워싱턴 의 국제금융연구소 는 현대화폐이론 환상의 종말 이라는 보고서를 냈다 이도저도 암것도 모르는 니덜은 관심 없겠지만 사실은 엄청난 변화를 알리는 내용이다 시간 날 때 읽어보길 바란다 에서 가장 우려하는 것은 인플레와 보호무역 그리고 국가 중앙은행의 시장통제력 상실 및 재정고갈이다,-1
62,2023-02-09,삼성전자,개미세끼들 또 쳐사기 시작하네,-1
63,2023-02-09,삼성전자,대통이 조카트니 주식도 조카터지는군 기돤늠스키 연일 개패대기전쟁이라도 난다는거유 뭐여,-1
64,2023-02-09,삼성전자,지렁이다 지렁이다 아나콘다도 아니고 지렁이처럼기어다니네 하이리스크 하이 리턴 몰라 파도처럼 와리가리 쳐주랑,-1
65,2023-02-09,삼성전자,바닥쳤다 돈번다 물타기 시작 어서,-1
66,2023-02-09,삼성전자,국졸새기들 물타기해보겠다고 낑낑 똥싸네판검새 도적떼 특검이나 받으라캐라,-1
67,2023-02-09,삼성전자,잘 가고 있군 좋아,-1
68,2023-02-09,삼성전자,간다,-1
69,2023-02-09,삼성전자,큰손이 흔들어 보세요 가상 화폐도 아닌데화이팅 십만전자로,-1
70,2023-02-09,삼성전자,잘 버티고 있다,-1
71,2023-02-09,삼성전자,전자 크게 반등 양전했습니다 삼전도 준비하세요,-1
72,2023-02-09,삼성전자,잘버티네 오늘 약 음봉뜨면 내일 크게 가겄다,-1
73,2023-02-09,삼성전자,이평선 걸치고 오늘 시체 많이 쌓이겠다,-1
74,2023-02-09,삼성전자,오늘은 옵션 만기일 꼬라지 보니 양꽝으로 갈려나 보네 그럼 삼전도 큰 변동없이 와따리갔따리 하다가 에 종가 찍을려나 싶다 이미 외놈들 개관들 종가 합의 본듯하다 참고만 해라,-1
75,2023-02-09,삼성전자,외인 이 녀석들 상승에 몰빵 사실은 울며 겨자먹기다 현재 시장은 급변할 시점을 저울질 하는 중이나 머지않아 곧 전세계 유동성이 모여있는 미증시 와르르 무너진다 빠져나올 틈이 없을 것이다 이런 이유로 요즘 형 취침시간이 늦어졌다 점심 맛있게 먹자,-1
76,2023-02-09,삼성전자,즈 하 가,-1
77,2023-02-09,삼성전자,존경하는 만 삼성전자 주주국회의원 여러분 안녕하세요 반드시 쌀밥 먹여 드리겠습니다 그라고 상 말면 질질 싸지 말고 세력들과 함께 하세요 마우스 손떼 그때 부터 종목 연구 해도 됨 당 최고 존엄 드림 그라고 첫상 들어 가고 다음날 쩜상 또는 권 형성이 안되면 뭐냐 탐색 전 으로 들어 갈 수 밖에 없다 상을말 때는 다 적당한 이유가 있다 상 말면 좀 질질 싸지 말고 쩜 또는 어떻게 할껀지 자료 조사 공부 좀 해라 여긴 도박장이 아니라 주식 시장 이다 니가 늙어 죽어도 계속 되는주식 시장 이란 말이다 그런 사람이 또는 기계가 모여서 세력을 이루고 날 당선 시킨다 맞어안맞어 당 최고 존엄 씀 급한돈 사절 이다 항상 여유 있는 세력이 되어라 분산의 기술 세력의 체력 이다 이상 항상 하는 얘기지만 상을 말면 질질 싸지 마라 마우스 손떼고 놀러 가던지 딴거 해라 알긋나 세력은분산의 기술이다 여유 있게 다음 달을 보고 항상 내 아이 교육 시키듯 잔잔 한 미소만 보낸다 절대 존엄 이 된다 솔직히 법이 못 하는교정도 해 낸다 세력이 되어라 절대적 비대면 시장은 순종 한다 당 절대 존엄 씀 믿고 따르라 세상을 바꾸는것은 지식이 아니다 청렴검사 입법부를 장악 하라 매집이 끝났으면 쓰레기 청소 하고 한배를 탄 친구들 하고 촘촘한 분산 계획을 세운다 항상 수요와 공급 거래량을 줄여 나가며 각자의 목표지점이 다르 도록 설계 하면 된다 자연 스러운 주식의 순기능 선택과 집중 그리고 순환매 시간이 지나도 투자를 하고 있으면 우렁각시 처럼 또 온다 시장의 순 기능 내가 글을 안 써도 잘 할 수 있다 게시판과 주가는 아무상관없다 만 삼성전자 주주 여러분 언제나 그랬듯이 건승 하싶시오 이제 한 년 걸리겠지만 표풀리즘 헌법 조 항을 명백히 준수 합니다 당 최고 존엄 씀,-1
78,2023-02-09,삼성전자,여기서 뭣들 하고 있는겨 차전지 빠떼리주들 잔칫집인데,-1
79,2023-02-09,삼성전자,매일 오늘같은 날이길 작년에 너무 내려서 속상햇는데 오늘은 너무 행복하다,-1
80,2023-02-09,삼성전자,외인 선물매도 오후장 이상 하락 예상 매수자는 오후장 아니면 동시호가,-1
81,2023-02-09,삼성전자,전우들이여 삼성전자 우 살리자 동료점 구해줘,-1
82,2023-02-09,삼성전자,이익실현타임 오늘의 고점 매도급소 매도자리,-1
83,2023-02-09,삼성전자,으휴 개미들만또 겁나 팔았네 이러니 맨날 손해만보고팔지,-1
84,2023-02-09,삼성전자,삼성반도체 끝없는 추락 방송이나 언론에 반도체 추락이란기사가 연일 뜨고있다이제는 저점 부근대라는 뜻혹시 또 한번 하락 트릭을 부리면추매 기회로 삼아야 한다이런 불안감 조장하는 기사를 보낼때수십개월 후에 보면 그때가깊은 바닥이였구나 느끼게된다,-1
85,2023-02-09,삼성전자,방향을 잘못 잡았네 이렇게까지 끌어 올릴 줄이야,-1
86,2023-02-09,삼성전자,아이에이 미리 사놔라 정확히 담주중에 상한가간다 내 이전글 다 확인해라 형은 말하고 간다,-1
87,2023-02-09,삼성전자,섬쎄하다 살얼음처럼 조심스럽고여자 감성처럼 예민하다,-1
88,2023-02-09,삼성전자,년후 얼마가 되어 있을까 만 만 만 만 만 번이라고 본다 순환매는 반드시 오니까 지금이 돈벌 기회다,-1
89,2023-02-09,삼성전자,보여주세요 월까지 삼성전자 프로 추가 상승,-1
