,날짜,기업명,"긍정1,부정2",정제된 내용,score
0,2023-02-03,현대차,1,이번에 주가 만원 향해 가보자 충분히 가능한 종목이다,85.08
1,2023-02-07,현대차,2,현대차 맨날 만원이다 언제 가겠냐,79.25
2,2023-02-02,현대차,2,아 팔 아주 져같네 개 같은 종목 차를 그따위로 만드니까 주가가 이모양지 퉤퉤 망해버려라,10.063
3,2023-02-07,현대차,2,개잡차 클라쓰 여전하구만,9.882
4,2023-02-01,현대차,2,차 폭등하는척하네 곧 꼬라박을거면서,19.09
5,2023-02-07,현대차,2,자동차중에서도 왕따주 코스피에선 저주받은주식 실적좋아도 아무상관없는주식 실적조금만안좋으면개박살나는주식 틈만나면 오너새끼가충당금때리는주식 년전보다도 더하락한주식지구촌 모든악재가 다반영되는주식,16.685
6,2023-02-07,현대차,2,수급이 너무 안좋네 아직 때가 아닌가 보네요 백원 띠기로 왔다리 갔다리 아직 아님,15.896999999999998
7,2023-02-05,현대차,2,현기가 개슬라 쓰렉슬라 리콜라 슬람이들 개박살내줄 날만 기다린다,13.123
8,2023-02-03,현대차,2,애플페이 통과 되나본데 본전 회수 좀 하자 인간적으로,40.699
9,2023-02-02,현대차,2,정대갈빡과 함쎄 영원히 폭망해버려라 이런건 주식시장에서 없어져버려야해,9.999
10,2023-02-01,현대차,1,오 오늘 안티 겁나 아침부터 많네 전약강후 오예,82.614
11,2023-02-08,현대차,2,흙흙흙흐 흙 흙흘윽흙흐으으윽흐륵내 쥬식,18.143
12,2023-02-02,현대차,2,아무도 안사는 개잡주 들고 눈만 벌개서들 뭐하냐 보함으로 마감하면 다행인줄 알아 오늘 미국장 조금만 조정오면 내일 폭락할 주식 이 바로 이거 현차블랙프라이데이나 즐기셔들 벌써 파란불 시동 건거야 시간 만에,20.7
13,2023-02-03,현대차,2,내가 본 잡주중에 최고의 잡주,10.667
14,2023-02-09,현대차,2,왜안올라가노 시브레,65.073
15,2023-02-09,현대차,2,기관 외인 어제 오후 동반매수 전환오늘도 상승,84.30199999999999
16,2023-02-03,현대차,1,삼전 분기 영업이익 조원대 현대차 조원대 예상 올해 영업이익 위 기업은 현대차삼전 잡으러 가즈아,81.133
17,2023-02-02,현대차,2,주식으로보믄 이회사는 잡주 아무리 내용 실적좋아도 주식으로 보믄 안좋은주식,11.457
18,2023-02-08,현대차,2,종합주가 가 다올라가도록 현대차는 도 못올라가고버벅대는개잡주가되었네 코스탁시장으로 강등시켜라,18.247
19,2023-02-02,현대차,2,오늘 괜히 샀네 현대차 말고 다른 주식 샀으면벌었는데 하필 이걸 샀네,27.951
20,2023-02-02,현대차,1,급등 아직도 현대차 성질파악 못했네주가폭등하면 항상 빠진다,68.28099999999999
21,2023-02-06,현대차,2,하지마라 주식 스트레스 몸 망가지고절대 수익 못본다생활 안된다,12.13
22,2023-02-08,현대차,2,세계적인 자동차회사가 네이버 카카오만도 못하냐 어이가없네,20.193
23,2023-02-07,현대차,2,아무도 안사는 개잡차 누가 이딴걸 사나 지수와 반대로 가는 주식을 테슬라 발끝에 낀 때만도 못한 기업제이피모간이 현건 현차 아주 갖고 노는구나 짤짤이용으로사람들이 왜 괜히 현대 자 들어간 주식하지 말라는게 아님,18.104
24,2023-02-03,현대차,2,소각하면서 같이 소각되라 개,10.484
25,2023-02-07,현대차,2,시총 상위목록에서 가장 쓰레기중에 쓰레기가장 잡주중에 잡주가장 가망없는 찌꺼기 종목,10.531
26,2023-02-05,현대차,1,월요일은 안좋구만 그러나 모빌리티 혁신가 최고의 경영자정의선만 보고 더 매집한다 손주 주자,85.453
27,2023-02-07,현대차,2,판매량 이 아니고 계약물량 판매량 최고 실적 계약물량이 없다니까 자꾸 뭔소리들인지 만원갈때 뉴스봐라 계약물량 출고 대기기간 오래걸린다 겁나 뉴스나오더만 지금 그 이야기는 쏙들어갔지 판매량 최고 실적 이야기만 나온다 계약물량이 꾸준히 들어와야 앞으로 실적이 받쳐준다,29.623
28,2023-02-02,현대차,1,나스닥 선물 벌써부터 급등 선물 장 시작하자마자 벌써부터 급등,85.675
29,2023-02-02,SK하이닉스,1,나스닥 선물 벌써부터 급등 선물 장 시작하자마자 벌써부터 급등,85.675
30,2023-02-02,현대차,2,정말 답이없나 이 주식은 정말 답이 없는 가요 그냥 배당금으로만 만족해야 하는 건가요 이제 지칩니다,11.839
31,2023-02-02,현대차,1,나스닥 미친 폭등,86.277
32,2023-02-02,NAVER,1,나스닥 미친 폭등,86.277
33,2023-02-07,현대차,2,몽개좃주가이게무냐 개자오시익,10.638
34,2023-02-08,현대차,2,네이버 네이버 프로상승중 현대차 프로상승,83.081
35,2023-02-09,현대차,2,마 주가는 똥이고 배당이나 마이 주소 닝기리 삥바리로 언제 본전 오겠노,12.928
36,2023-02-08,현대차,1,지수가 이렇게 오르는데 이게 뭔가요 정말 배당 많이 하면 뭐해 지수 상승만큼도 못가는데,29.731
37,2023-02-01,현대차,2,보스턴 다이나믹스 에 스트레치로봇 납품 택배하역 자동화는 한국이 더 필요할거 같다 굉장히 의미있는 첫 상용화로 보스턴이 잘 나가야 현대차 만원 뚫지 않을까 보스턴 나스닥 상장 한번하자,82.417
38,2023-02-07,현대차,2,큰일이쥬 스튜디오 미르 스튜디오 드래곤 만돌파 하겠유 추카추카 화이팅,85.846
39,2023-02-05,현대차,2,오늘 그랜져 사전 예약 취소 했어유 대 할부이자 도저히 감당 안됨 앞으로 년 기존 차 더 타야겠네요 집값 떨어져 공공요금 폭탄에 내년이 더 걱정이네요,51.418
40,2023-02-07,현대차,2,에구 또 만대로 내려가네,30.23
41,2023-02-07,현대차,1,현대차 적정주가 만원 주당 자산가치 원 주당 순이익 원 추정 올해추정 증권사가 개이상인 경우만 네이버에서 표시 원 현재 기준 적정주가 만원 자산가치 만 실적가치 만 특이점 자산가치 만원에 현주가는 반토막 주가예상 예상 실적이 원대로 만 대략 차트상 만원 일선 근처 찍고 적정주가 만원선까지 반등할것으로 예상 매수추천가격 개월 평균선 근처 적정주가의 인 만원대 기회주면 매수추천 물리신분들은 만원대 물타기 후 만원 바닥대비 배 상승하면 수익 실현 신규투자는 지금 만원대 목표가 만원 기간 년,67.786
42,2023-02-08,현대차,2,자사주 소각 약속 지켜라 당장 제목 그태로,27.218
43,2023-02-07,현대차,2,갔다 버려야겠다 익절 턱걸이 수준이라 갔다 버려야겠어 너무 못가,16.058999999999997
44,2023-02-03,현대차,2,장막판에 보합 게 차 그러면 그렇지,12.032
45,2023-02-01,현대차,1,단한주도 안팔꺼다 별 지랄을 다해도 단한주도 안팔꺼다으아아아악,79.823
46,2023-02-01,현대차,2,현기차가 내수용 차를 대충 만드는 이유 이 귀 되놈이지 처죽일 놈,18.922
47,2023-02-06,현대차,2,개잡주도 이런 개잡주는 첨본다 개관에게 버림받은 회사,8.94
48,2023-02-09,현대차,2,차전지 이런거 부럽냐 자동차 회사 하청이 무슨 대단한거라고 그리고 이런거에 맛들인애들은 결과가 비참하다더 고수익 더 위험한거 찾아다니다 결국 쪽박찬다현기차 해서 정직하게 먹어라,10.957
49,2023-02-06,현대차,2,도 도망챠 살랴,9.852
50,2023-02-02,현대차,2,개미들 현차 그만 사세요 개미가 자꾸 사니까 못오르는듯,16.976999999999997
51,2023-02-01,현대차,2,현대 기아차 도난방지장치 미국소송 얼마나 허술하면 차 도난 등,18.591
52,2023-02-09,현대차,1,선 넘겼다 상승차트다 우상향한자,85.846
53,2023-02-06,현대차,2,안어울리게 빨간불이야 빨리내려가라 재수없는 주식아 상장폐지 부탁한다,30.168
54,2023-02-08,현대차,2,전기차시대 그리고 수소차시대 수소 누가 등이냐,14.545
55,2023-02-07,현대차,2,뭐 있나 기아에 비해서 너무 꾸준히 못가네시차가 있어도 보통 앞뒤로 가는데 올해 왜 그러지,16.587
56,2023-02-06,현대차,1,현자 월판매댓수 만대 판매 상승,85.444
57,2023-02-07,현대차,2,순환출자 구조 수혜 현대차 직접투자가 답이지 지분많이 확보해야,24.242
58,2023-02-06,현대차,1,찐이다 전군 매도금지,34.507
59,2023-02-03,현대차,1,현대차 기아 도요타와 판매격차 만대로 좁혀 도요타와 이제 박빙 도요타잡고 삼전도 잡아보자,82.012
60,2023-02-08,현대차,2,동시호가 또 내려꽂네 이정도면 과학이다시부레,20.084
61,2023-02-08,현대차,2,이 정도 뉴스들로 도배 될 정도면 쫌 가야 하는거 아니니,11.843
62,2023-02-07,현대차,2,만원까지 조정 올해안으로 현대차주가 원까지 상승세,80.383
63,2023-02-01,현대차,2,현기차가 내수용 차를 대충 만드는 이유 현기차 저격수 노사장 유튜브 보고 많이 배운다,66.95100000000001
64,2023-02-09,현대차,2,대현차 이걸 대도체 왜사 넌 왜 삼,10.395
65,2023-02-08,현대차,2,주가를 보면 회사를 알수있다 흉기는 미래없다,11.235
66,2023-02-06,현대차,2,끝났다 저번주 금요일에 개인들 팔 타이밍 아닌데 팔아서 끝났다,17.602
67,2023-02-02,현대차,2,아 어제 고점에 매수해서 제대로 물렸네 아,25.338
68,2023-02-09,현대차,2,급등 나올 차트란다 웃고간다 급등해봐야 지 뭘 급등이야,84.93799999999999
