날짜,순위,종목명,코드명
2023-02-06,1,삼성전자,005930
2023-02-06,2,카카오,035720
2023-02-06,3,SK하이닉스,000660
2023-02-06,4,타이거일렉,219130
2023-02-06,5,삼성바이오로직스,207940
2023-02-06,6,NAVER,035420
2023-02-06,7,서린바이오,038070
2023-02-06,8,마인즈랩,377480
2023-02-06,9,AP위성,211270
2023-02-06,10,KT&G,033780
2023-02-06,11,현대차,005380
2023-02-06,12,포스코케미칼,003670
2023-02-06,13,미투젠,950190
2023-02-06,14,코오롱모빌리티그룹,450140
2023-02-06,15,엔에프씨,265740
2023-02-06,16,웹케시,053580
2023-02-06,17,LG화학,051910
2023-02-06,18,SK텔레콤,017670
2023-02-06,19,SKC,011790
2023-02-06,20,한화솔루션,009830
2023-02-06,21,한국조선해양,009540
2023-02-06,22,삼성전자우,005935
2023-02-06,23,링크제니시스,219420
2023-02-06,24,위메이드,112040
2023-02-06,25,진양홀딩스,100250
2023-02-06,26,한미글로벌,053690
2023-02-06,27,쏠리드,050890
2023-02-06,28,콤텍시스템,031820
2023-02-06,29,HMM,011200
2023-02-06,30,SK아이이테크놀로지,361610
