,날짜,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
0,01.11,"60,500",100,+0.17%,"12,310,751","+684,500","+119,764","2,984,487,393",49.99%
1,01.12,"60,500",0,0.00%,"16,102,561","-1,546,824","+1,726,466","2,985,958,859",50.02%
2,01.13,"60,800",300,+0.50%,"12,510,328","+434,082","+1,390,396","2,987,332,055",50.04%
3,01.16,"61,100",300,+0.49%,"10,039,972","+1,102,518","+1,088,709","2,988,383,164",50.06%
4,01.17,"61,000",100,-0.16%,"9,831,456","-605,869","+1,125,839","2,989,308,003",50.07%
5,01.18,"60,400",600,-0.98%,"11,584,041","-894,047","+259,868","2,990,511,026",50.09%
6,01.19,"61,500","1,100",+1.82%,"12,808,490","-1,422,690","+4,785,083","2,993,784,109",50.15%
7,01.20,"61,800",300,+0.49%,"9,646,327","+127,097","+1,535,750","2,995,009,859",50.17%
8,01.25,"63,400","1,600",+2.59%,"16,822,710","+171,748","+7,469,212","3,001,579,071",50.28%
9,01.26,"63,900",500,+0.79%,"13,278,277","-54,227","+3,568,236","3,005,053,104",50.34%
10,01.27,"64,600",700,+1.10%,"18,760,182","+447,761","+5,830,723","3,010,762,862",50.43%
11,01.30,"63,300","1,300",-2.01%,"20,995,234","-698,112","+1,591,374","3,012,326,910",50.46%
12,01.31,"61,000","2,300",-3.63%,"29,746,731","+1,494,490","-6,860,325","3,005,520,203",50.35%
13,02.01,"61,800",800,+1.31%,"18,570,133","-516,791","+62,860","3,005,826,373",50.35%
14,02.02,"63,500","1,700",+2.75%,"23,285,983","-1,199,802","+5,119,433","3,011,043,701",50.44%
15,02.03,"63,800",300,+0.47%,"15,194,598","-2,021,442","+3,805,110","3,014,053,481",50.49%
16,02.06,"61,600","2,200",-3.45%,"15,529,356","-1,768,399","-2,275,019","3,011,898,262",50.45%
17,02.07,"61,900",300,+0.49%,"14,491,039","-1,028,256","+563,336","3,012,802,298",50.47%
18,02.08,"63,100","1,200",+1.94%,"12,243,125","-683,561","+2,989,063","3,015,974,361",50.52%
19,02.09,"63,000",100,-0.16%,"12,164,865","-1,289,172","+1,553,218","3,017,760,979",50.55%
