,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
0,2023.02.10,삼성전자,"62,800",200,-0.32%,"9,382,576","-2,217,379","+1,760,570","3,020,219,612",50.59%
1,2023.02.09,삼성전자,"63,000",100,-0.16%,"12,164,865","-1,289,172","+1,553,218","3,017,760,979",50.55%
2,2023.02.08,삼성전자,"63,100","1,200",+1.94%,"12,243,125","-683,561","+2,989,063","3,015,974,361",50.52%
3,2023.02.07,삼성전자,"61,900",300,+0.49%,"14,491,039","-1,028,256","+563,336","3,012,802,298",50.47%
4,2023.02.06,삼성전자,"61,600","2,200",-3.45%,"15,529,356","-1,768,399","-2,275,019","3,011,898,262",50.45%
5,2023.02.03,삼성전자,"63,800",300,+0.47%,"15,194,598","-2,021,442","+3,805,110","3,014,053,481",50.49%
6,2023.02.02,삼성전자,"63,500","1,700",+2.75%,"23,285,983","-1,199,802","+5,119,433","3,011,043,701",50.44%
7,2023.02.01,삼성전자,"61,800",800,+1.31%,"18,570,133","-516,791","+62,860","3,005,826,373",50.35%
8,2023.01.31,삼성전자,"61,000","2,300",-3.63%,"29,746,731","+1,494,490","-6,860,325","3,005,520,203",50.35%
9,2023.01.30,삼성전자,"63,300","1,300",-2.01%,"20,995,234","-698,112","+1,591,374","3,012,326,910",50.46%
10,2023.01.27,삼성전자,"64,600",700,+1.10%,"18,760,182","+447,761","+5,830,723","3,010,762,862",50.43%
11,2023.01.26,삼성전자,"63,900",500,+0.79%,"13,278,277","-54,227","+3,568,236","3,005,053,104",50.34%
12,2023.01.25,삼성전자,"63,400","1,600",+2.59%,"16,822,710","+171,748","+7,469,212","3,001,579,071",50.28%
13,2023.01.20,삼성전자,"61,800",300,+0.49%,"9,646,327","+127,097","+1,535,750","2,995,009,859",50.17%
14,2023.01.19,삼성전자,"61,500","1,100",+1.82%,"12,808,490","-1,422,690","+4,785,083","2,993,784,109",50.15%
15,2023.01.18,삼성전자,"60,400",600,-0.98%,"11,584,041","-894,047","+259,868","2,990,511,026",50.09%
16,2023.01.17,삼성전자,"61,000",100,-0.16%,"9,831,456","-605,869","+1,125,839","2,989,308,003",50.07%
17,2023.01.16,삼성전자,"61,100",300,+0.49%,"10,039,972","+1,102,518","+1,088,709","2,988,383,164",50.06%
18,2023.01.13,삼성전자,"60,800",300,+0.50%,"12,510,328","+434,082","+1,390,396","2,987,332,055",50.04%
19,2023.01.12,삼성전자,"60,500",0,0.00%,"16,102,561","-1,546,824","+1,726,466","2,985,958,859",50.02%
20,2023.02.10,카카오,"67,600","3,300",-4.65%,"5,370,780","-1,203,120","-903,578","116,974,985",26.26%
21,2023.02.09,카카오,"70,900","1,800",+2.60%,"3,602,387","+433,800","-140,891","117,834,030",26.45%
22,2023.02.08,카카오,"69,100","1,100",+1.62%,"3,109,216","+197,340","-352,588","117,974,921",26.49%
